size,agent,task_per_agent,phi,scheduler,bound,sort,mlabel,task_num,task_success,time_ms
33x46,120,5,0.1,edf,True,True,True,600,595,9294
33x46,120,5,0.1,edf,False,False,True,600,595,59791
33x46,120,5,0.25,edf,True,False,True,600,596,9543
33x46,120,5,0.25,edf,True,True,True,600,596,9485
33x46,120,5,0.25,edf,False,False,True,600,596,59929
33x46,120,5,0,flex,True,False,True,600,539,-1
33x46,120,5,0,flex,True,True,True,600,575,182639
33x46,120,5,0,flex,False,False,True,600,16,-1
33x46,120,5,0.1,flex,True,False,True,600,560,-1
33x46,120,5,0.1,flex,True,True,True,600,589,115822
33x46,120,5,0.1,flex,False,False,True,600,17,-1
33x46,120,5,0.25,flex,True,False,True,600,599,273503
33x46,120,5,0.25,flex,True,True,True,600,600,138172
33x46,120,5,0.25,flex,False,False,True,600,18,-1
33x46,150,10,0,edf,True,False,True,1500,1467,36221
33x46,150,10,0,edf,True,True,True,1500,1467,37180
33x46,150,10,0,edf,False,False,True,1500,1467,266489
33x46,150,10,0.1,edf,True,False,True,1500,1400,37337
33x46,150,10,0.1,edf,True,True,True,1500,1400,37559
33x46,150,10,0.1,edf,False,False,True,1500,1400,276233
33x46,150,10,0.25,edf,True,False,True,1500,1491,39172
33x46,150,10,0.25,edf,True,True,True,1500,1491,39174
33x46,150,10,0.25,edf,False,False,True,1500,1491,283999
33x46,150,10,0,flex,True,False,True,1500,265,-1
33x46,150,10,0,flex,True,True,True,1500,252,-1
33x46,150,10,0,flex,False,False,True,1500,6,-1
33x46,150,10,0.1,flex,True,False,True,1500,271,-1
33x46,150,10,0.1,flex,True,True,True,1500,348,-1
33x46,150,10,0.1,flex,False,False,True,1500,6,-1
33x46,150,10,0.25,flex,True,False,True,1500,268,-1
33x46,150,10,0.25,flex,True,True,True,1500,445,-1
33x46,150,10,0.25,flex,False,False,True,1500,6,-1
33x46,150,2,0,edf,True,False,True,300,278,5619
33x46,150,2,0,edf,True,True,True,300,278,5660
33x46,150,2,0,edf,False,False,True,300,278,33894
33x46,150,2,0.1,edf,True,False,True,300,286,5999
33x46,150,2,0.1,edf,True,True,True,300,286,5980
33x46,150,2,0.1,edf,False,False,True,300,286,33686
33x46,150,2,0.25,edf,True,False,True,300,299,6421
33x46,150,2,0.25,edf,True,True,True,300,299,6438
33x46,150,2,0.25,edf,False,False,True,300,299,36887
33x46,150,2,0,flex,True,False,True,300,283,132070
33x46,150,2,0,flex,True,True,True,300,278,45502
33x46,150,2,0,flex,False,False,True,300,25,-1
33x46,150,2,0.1,flex,True,False,True,300,296,149737
33x46,150,2,0.1,flex,True,True,True,300,288,52382
33x46,150,2,0.1,flex,False,False,True,300,24,-1
33x46,150,2,0.25,flex,True,False,True,300,300,145525
33x46,150,2,0.25,flex,True,True,True,300,296,50739
33x46,150,2,0.25,flex,False,False,True,300,27,-1
33x46,150,5,0,edf,True,False,True,750,724,16049
33x46,150,5,0,edf,True,True,True,750,724,16074
33x46,150,5,0,edf,False,False,True,750,724,108768
33x46,150,5,0.1,edf,True,False,True,750,745,17005
33x46,150,5,0.1,edf,True,True,True,750,745,17184
33x46,150,5,0.1,edf,False,False,True,750,745,116553
33x46,150,5,0.25,edf,True,False,True,750,750,17399
33x46,150,5,0.25,edf,True,True,True,750,750,17550
33x46,150,5,0.25,edf,False,False,True,750,750,119794
33x46,150,5,0,flex,True,False,True,750,332,-1
33x46,150,5,0,flex,True,True,True,750,391,-1
33x46,150,5,0,flex,False,False,True,750,11,-1
33x46,150,5,0.1,flex,True,False,True,750,330,-1
33x46,150,5,0.1,flex,True,True,True,750,746,224675
33x46,150,5,0.1,flex,False,False,True,750,11,-1
33x46,150,5,0.25,flex,True,False,True,750,319,-1
33x46,150,5,0.25,flex,True,True,True,750,747,256541
33x46,150,5,0.25,flex,False,False,True,750,12,-1
33x46,180,10,0,edf,True,False,True,1800,1755,64379
33x46,180,10,0,edf,True,True,True,1800,1755,64254
33x46,180,10,0,edf,False,False,True,1800,1191,-1
33x46,180,10,0.1,edf,True,False,True,1800,1664,67481
33x46,180,10,0.1,edf,True,True,True,1800,1664,67529
