size,agent,task_per_agent,phi,scheduler,bound,sort,mlabel,task_num,task_success,time_ms
33x46,150,5,-0.25,edf,False,False,True,750,676,19057
33x46,150,5,0,flex,True,False,True,750,668,-1
33x46,150,5,0,flex,True,True,True,750,744,1253426
33x46,150,5,0,flex,False,False,True,750,59,-1
33x46,150,5,0.1,flex,True,False,True,750,656,-1
33x46,150,5,0.1,flex,True,True,True,750,746,1053258
33x46,150,5,0.1,flex,False,False,True,750,62,-1
33x46,150,5,0.25,flex,True,False,True,750,750,2211484
33x46,150,5,0.25,flex,True,True,True,750,750,972542
33x46,150,5,0.25,flex,False,False,True,750,62,-1
33x46,150,5,-0.1,flex,True,False,True,750,728,2533774
33x46,150,5,-0.1,flex,True,True,True,750,728,749869
33x46,150,5,-0.1,flex,False,False,True,750,59,-1
33x46,150,5,-0.25,flex,True,False,True,750,659,945023
33x46,150,5,-0.25,flex,True,True,True,750,659,522348
33x46,150,5,-0.25,flex,False,False,True,750,58,-1
33x46,180,10,0,edf,True,False,True,1800,1775,68662
33x46,180,10,0,edf,True,True,True,1800,1775,68595
33x46,180,10,0,edf,False,False,True,1800,1775,68639
33x46,180,10,0.1,edf,True,False,True,1800,1772,61542
33x46,180,10,0.1,edf,True,True,True,1800,1772,62860
33x46,180,10,0.1,edf,False,False,True,1800,1772,61962
33x46,180,10,0.25,edf,True,False,True,1800,1797,56752
33x46,180,10,0.25,edf,True,True,True,1800,1797,56638
33x46,180,10,0.25,edf,False,False,True,1800,1797,57358
33x46,180,10,-0.1,edf,True,False,True,1800,1754,69737
33x46,180,10,-0.1,edf,True,True,True,1800,1754,69270
33x46,180,10,-0.1,edf,False,False,True,1800,1754,68656
33x46,180,10,-0.25,edf,True,False,True,1800,1698,63702
33x46,180,10,-0.25,edf,True,True,True,1800,1698,62464
33x46,180,10,-0.25,edf,False,False,True,1800,1698,62823
33x46,180,10,0,flex,True,False,True,1800,438,-1
33x46,180,10,0,flex,True,True,True,1800,377,-1
33x46,180,10,0,flex,False,False,True,1800,24,-1
33x46,180,10,0.1,flex,True,False,True,1800,426,-1
33x46,180,10,0.1,flex,True,True,True,1800,517,-1
33x46,180,10,0.1,flex,False,False,True,1800,25,-1
33x46,180,10,0.25,flex,True,False,True,1800,562,-1
33x46,180,10,0.25,flex,True,True,True,1800,512,-1
33x46,180,10,0.25,flex,False,False,True,1800,27,-1
33x46,180,10,-0.1,flex,True,False,True,1800,447,-1
33x46,180,10,-0.1,flex,True,True,True,1800,429,-1
